"","state","location","both_sexes_2012"
"190","Texas","Rains County",16.2
"191","Texas","Randall County",14.5
"192","Texas","Reagan County",18.7
"193","Texas","Real County",16.9
"194","Texas","Red River County",14.3
"195","Texas","Reeves County",21.5
"196","Texas","Refugio County",20.2
"197","Texas","Roberts County",14.2
"198","Texas","Robertson County",16.3
"199","Texas","Rockwall County",13.6
"200","Texas","Runnels County",19.5
"201","Texas","Rusk County",13.9
"202","Texas","Sabine County",17.5
"203","Texas","San Augustine County",15
"204","Texas","San Jacinto County",15
"205","Texas","San Patricio County",20.6
"206","Texas","San Saba County",14.8
"207","Texas","Schleicher County",14.5
"208","Texas","Scurry County",14.9
"209","Texas","Shackelford County",12.6
"210","Texas","Shelby County",13.8
"211","Texas","Sherman County",13
"212","Texas","Smith County",14.2
"213","Texas","Somervell County",14.3
"214","Texas","Starr County",19.5
"215","Texas","Stephens County",15.1
"216","Texas","Sterling County",13.9
"217","Texas","Stonewall County",12.3
"218","Texas","Sutton County",19.8
"219","Texas","Swisher County",14
"220","Texas","Tarrant County",16.3
"221","Texas","Taylor County",15.8
"222","Texas","Terrell County",18.2
"223","Texas","Terry County",15.4
"224","Texas","Texas",17.5
"225","Texas","Throckmorton County",11.8
"226","Texas","Titus County",15.4
"227","Texas","Tom Green County",17.9
"228","Texas","Travis County",20.6
"229","Texas","Trinity County",15.7
"230","Texas","Tyler County",14
"231","Texas","Upshur County",16
"232","Texas","Upton County",14.1
"233","Texas","Uvalde County",19.7
"234","Texas","Val Verde County",20.9
"235","Texas","Van Zandt County",14
"236","Texas","Victoria County",19.7
"237","Texas","Walker County",16
"238","Texas","Waller County",16.3
"239","Texas","Ward County",17.1
"240","Texas","Washington County",19
"241","Texas","Webb County",21.2
"242","Texas","Wharton County",19
"243","Texas","Wheeler County",12.9
"244","Texas","Wichita County",16.2
"245","Texas","Wilbarger County",12.3
"246","Texas","Willacy County",21.8
"247","Texas","Williamson County",17.6
"248","Texas","Wilson County",18.7
"249","Texas","Winkler County",15.4
"250","Texas","Wise County",15.7
"251","Texas","Wood County",14.4
"252","Texas","Yoakum County",15.1
"253","Texas","Young County",13.6
"254","Texas","Zapata County",16.4
"255","Texas","Zavala County",18
